Rajeev Rajiv
Vikram Vikaram
Vikram Veekram
Vikram Veekaram
Rohit Roheet
Sparsh Spars
Akshay Aksay
Akshay Akshey
Rupesh Roopesh
Rupesh Rupaish
Ameet Amit
Chandresh Chandreesh
Pawan Pavan
Sandeep Sandip
Sandeep Sundeep
Rumit Roomit
Rumit Rumeet
Rumit Roomeet
Keshar Kesar
Kaushik Kausik
Kaushik Kosik
Kaushik Koshik
Kaushik Kosheek
Kaushik Kausheek
Mohit Moheet
Meet Mit
Arjun Arjoon
Akhilesh Akheelesh
Akash Aakash
Akash Aakaash
Bhupender Bhoopender
Bhupendra Bhoopendra
Raghunandan Raghoonandan
Raghunandan Raghunandan
Subhas Soobhas
Subhas Suvas
Subhas Shubhas
Subhas Shubhash
Rahul Rahool
Vikas Veekas
Vikas Vikash
Vinod Veenod
Vinod Vinaud
Kuldeep Kuldip
Kuldeep Kooldip
Kuldeep Kooldeep
Keval Kaival
Himanshu Himanshoo
Himanshu Heemanshu
Himanshu Heemanshoo
Amit Ameet
Anil Aneel
Aamir Aameer
Sunny Suny
Kiran Keeran
Milan Meelan
Sehboob Sehbub
Shakir Shakeer
Sakir Sakeer
Manish Maneesh
Naveen Navin
Rishabh Rishab
Rishabh Reeshab
Rishabh Reeshabh
Rishabh Rishav
Gautam Gotam
Gautam Gotum
Gautam Gautum
Sabbir Sabbeer
Shambhu Sambhu
Shambhu Samvu
Naresh Nares
Shahid Shaheed
Shahid Sahid
Shahid Saahid
Sunil Suneel
Sunil Soonil
Sunil Sooneel
Dipak Deepak
Ravi Ravee
Salim Saleem
Salim Shalim
Rishi Reeshi
Rishi Rishee
Rishi Reeshee
Pradeep Pradip
Gaurav Gorav
Gaurav Gauruv
Gaurav Goruv
Manpreet Manprit
Manpreet Munpreet
Nasim Nashim
Nasim Nasheem
Nasim Naasim
Thota Tota
Thota Thotha
Iqbal Iqbaal
Deelip Dilip
Deelip Dileep
Deelip Deeleep
Ajit Ajeet
Rajesh Rajes
Rajesh Raajesh
Ashok Asok
Ashok Ashauk
Sumit Sumeet
Sumit Shumit
Neeraj Niraj
Neeraj Niraz
Pramod Pramoud
Arman Armaan
Nitin Neetin
Nitin Niteen
Nitin Neeteen
Jeetu Jitu
Jeetu Jeetoo
Jeetu Jitoo
Vidit Veedit
Vidit Videet
Girish Geerish
Girish Gireesh
Amarjeet Amarjit
Amarjeet Amarjeit
Gauri Gori
Gauri Gauree
Gauri Goree
Gauri Gouri
Putin Puteen
Putin Pootin
Jamaal Zamal
Jamaal Jamal
Ronak Raunak
Hitesh Heetesh
Zahid Zaheed
Avinash Aveenash
Avinash Avinaas
Vishal Veeshal
Vishal Visal
Vishal Veesal
Vishal Visaal
Nikunj Neekunj
Nikunj Nikunz
Deep Dip
Aditya Aaditya
Aditya Aadeetya
Aditya Adityaa
Shakib Shakeeb
Shakib Saqib
Shakib Shaqib
Manvir Manveer
Manvir Munveer
Raghuvir Raghoovir
Raghuvir Raghuveer
Raghuvir Raghooveer
Ramdeep Ramdip
Ramdeep Raamdeep
Nimit Neemit
Nimit Neemeet
Nimit Nimeet
Vivek Veevek
Chirag Cheerag
Chirag Chiraag
Manoj Manauj
Sonu Sonoo
Manjit Manjeet
Umesh Umeish
Akhilesh Akheelesh
Akhilesh Akhileish
Firoz Feeroz
Firoz Firoj
Firoz Feeroj
Kuldeep Kooldip
Rinku Reenku
Rinku Reenkoo
Rinku Rinkoo
Nirmal Neermal
Nirmal Nirmala
Bipin Beepen
Bipin Bipeen
Bipin Beepin
Kumaar Kumar
Kumaar Koomar
Bhim Bheem
Ankur Ankoor
Sachin Sacheen
Vishnu Vishnoo
Vishnu Vishanu
Vishnu Veeshnu
Vimal Veemal
Vimal Bimal
Arjit Arjeet
Mahinudin Maheenudin
Mahinudin Mahinoodin
Mahinudin Mahindudeen
Mahinudin Maheenudeen
Mithun Meethun
Mithun Mithoon
Mithun Meethoon
Lakshit Laksheet
Shiv Sheev
Shiv Shib
Mukesh Mookesh
Mukesh Mookaish
Vikramjeet Vikramjit
Viram Veeram
Lalit Laleet
Anuv Anoov
Anup Anoop
Ankit Ankeet
Sahil Saheel
Sandip Sandeep
Sandip Sundip
Subhash Subhaash
Subhash Soobhash
Malik Maleek
Malik Maalik
Malik Maliq
Abhishek Abheeshek
Abhishek Abhishekh
Abhishek Abhisheikh
Abhishek Abhisek
Praful Prafool
Manish Maneesh
Salaman Salman
Salaman Shalman
Suresh Shuresh
Suresh Sooresh
Nishant Neeshant
Krishna Kreeshna
Krishana Kreeshana
Rajendar Rajender
Rajendar Rajindar
Shrinath Shreenath
Mayur Mayoor
Kishan Keeshan
Ranvir Ranveer
Dipu Deepu
Dipu Dipoo
Shahrukh Shahrookh
Shahrukh Sarukh
Darshan Darsan
Lakhman Laxman
Lakhman Lakshman
Prem Preim
Dinesh Deenesh
Vijay Veejay
Shivam Sheevam
Shivam Sivam
Kundan Koondan
Ravinder Raveendar
Vashu Vashoo
Moolchand Mulchand
Rustam Roostam
Dhiraj Dheeraj
Jatin Jateen
Asif Aashif
Asif Ashif
Shyam Syam
Shyam Shyaam
Shubhum Shoobham
Shubhum Subham
Satish Shatish
Satish Shateesh
Satish Sateesh
Vickey Veekey
Shundar Sundar
Nihal Neehal
Govind Gauvind
Govind Goveend
Govind Gobind
Ghambhir Ghambheer
Ghambhir Gambhir
Himanshu Heemanshu
Himanshu Himanshoo
